current_week_value,update_dt,source,last_week_value,datadate,product_name
2.7,2018-06-07 15:34:53,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,2.3,2017-11-03,上海及嘉兴
39.3,2018-06-07 15:34:53,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,36.4,2017-11-03,张家港
6.7,2018-06-07 15:34:53,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,7.6,2017-11-03,太仓及常熟
4.2,2018-06-07 15:34:54,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,3.2,2017-11-03,江阴及常州
58.3,2018-06-07 15:34:54,http://www.ccf.com.cn/newscenter/detail-160000-2017110300390.shtml,55.7,2017-11-03,总和
4.8,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,5.4,2017-11-10,宁波
2.1,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,2.7,2017-11-10,上海及嘉兴
36.6,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,39.3,2017-11-10,张家港
7.1,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,6.7,2017-11-10,太仓及常熟
4.0,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,4.2,2017-11-10,江阴及常州
54.6,2018-06-07 15:34:56,http://www.ccf.com.cn/newscenter/detail-160000-2017111000440.shtml,58.3,2017-11-10,总和
6.64,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,4.8,2017-11-17,宁波
0.6,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,2.1,2017-11-17,上海及嘉兴
34.95,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,36.6,2017-11-17,张家港
7.7,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,7.1,2017-11-17,太仓及常熟
4.7,2018-06-07 15:35:00,http://www.ccf.com.cn/newscenter/detail-160000-2017111700328.shtml,4.0,2017-11-17,江阴及常州
