update_dt,datadate,source,change_price,day_avg_price,product_name
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,0元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,1美元/吨,912,CCF外盘MEG
2018-06-07 12:54:26,2017-11-29,http://www.ccf.com.cn/newscenter/detail-140000-2017112900526.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:30,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800526.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:30,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800526.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,-15元/吨,7355,CCF内盘MEG现货
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,-25元/吨,7355,CCF内盘MEG期货
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,-15元/吨,7370,CCF内盘宁波MEG现货
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,0元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,-1美元/吨,911,CCF外盘MEG
2018-06-07 12:54:34,2017-11-28,http://www.ccf.com.cn/newscenter/detail-140000-2017112800543.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,30元/吨,7345,CCF内盘MEG现货
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,40元/吨,7365,CCF内盘MEG期货
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,45元/吨,7360,CCF内盘宁波MEG现货
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,75元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,8美元/吨,906,CCF外盘MEG
2018-06-07 12:54:38,2017-11-23,http://www.ccf.com.cn/newscenter/detail-140000-2017112300487.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:41,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700477.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:41,2017-11-27,http://www.ccf.com.cn/newscenter/detail-140000-2017112700477.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:54:45,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200477.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:45,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200477.shtml,0/0,18800-19500,PTMEG（市场价 高）
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,85元/吨,7315,CCF内盘MEG现货
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,95元/吨,7325,CCF内盘MEG期货
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,85元/吨,7315,CCF内盘宁波MEG现货
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,25元/吨,7500,CCF内盘华南MEG现货
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,7美元/吨,894,CCF外盘MEG
2018-06-07 12:54:50,2017-11-22,http://www.ccf.com.cn/newscenter/detail-140000-2017112200516.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,15元/吨,7255,CCF内盘MEG现货
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,20元/吨,7260,CCF内盘MEG期货
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,20元/吨,7265,CCF内盘宁波MEG现货
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,75元/吨,7525,CCF内盘华南MEG现货
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,1美元/吨,891,CCF外盘MEG
2018-06-07 12:54:51,2017-11-20,http://www.ccf.com.cn/newscenter/detail-140000-2017112000539.shtml,0,2.5,CCF接盘指数
2018-06-07 12:54:56,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100499.shtml,+100/+100,18400-18800,PTMEG（市场价 低）
2018-06-07 12:54:56,2017-11-21,http://www.ccf.com.cn/newscenter/detail-140000-2017112100499.shtml,0/+100,18800-19500,PTMEG（市场价 高）
2018-06-07 12:55:00,2017-11-16,http://www.ccf.com.cn/newscenter/detail-140000-2017111600464.shtml,0/0,18300-18700,PTMEG（市场价 低）
2018-06-07 12:55:00,2017-11-16,http://www.ccf.com.cn/newscenter/detail-140000-2017111600464.shtml,0/0,18800-19400,PTMEG（市场价 高）
2018-06-07 12:55:04,2017-11-16,http://www.ccf.com.cn/newscenter/detail-140000-2017111600501.shtml,-70元/吨,7205,CCF内盘MEG现货
